Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00110,13.12,-9.62,-0.61,0,0,2779575.00,54225.00,46.80,170175.00,193.20,195.80,97.97,118.70,95.08,193.05,24750,10.30,NIFTY,96.45,96.45,--,--,96.45,97.95,885375.00,65.70,351150.00,8755500.00,0,0.39,-9.62,13.12,0.00110
0.00100,12.53,-9.29,-0.66,0,0,5510325.00,236475.00,45.40,757275.00,227.35,228.75,147.97,168.70,80.03,228.00,24800,10.40,NIFTY,80.00,80.00,--,--,79.55,80.00,3030975.00,87.30,1412925.00,19039425.00,0,0.34,-9.29,12.53,0.00100
0.00100,11.71,-8.68,-0.71,0,0,718650.00,35175.00,65.30,89025.00,258.30,264.25,197.97,218.70,64.68,262.65,24850,10.40,NIFTY,64.35,64.35,--,--,63.50,64.45,1082925.00,26.70,228300.00,15188700.00,0,0.29,-8.68,11.71,0.00100
0.00090,10.75,-7.98,-0.75,0,0,1412475.00,294825.00,129.10,523125.00,298.00,298.90,247.97,268.70,50.63,298.60,24900,10.40,NIFTY,51.35,51.35,--,--,51.00,51.35,2121150.00,66.40,846150.00,17642625.00,0,0.25,-7.98,10.75,0.00090
0.00080,9.69,-7.22,-0.80,0,0,198525.00,5175.00,25.60,25425.00,332.25,344.35,297.97,318.70,37.58,335.55,24950,10.40,NIFTY,40.65,40.65,--,--,40.20,40.80,930600.00,193.10,613125.00,6128250.00,0,0.20,-7.22,9.69,0.00080
0.00070,8.62,-6.46,-0.83,0,0,1484325.00,332325.00,64.90,844275.00,376.10,380.00,347.97,368.70,31.23,379.20,25000,10.50,NIFTY,32.20,32.20,--,--,32.20,32.25,4885950.00,92.20,2343825.00,22340400.00,0,0.17,-6.46,8.62,0.00070
0.00060,7.47,-5.59,-0.86,0,0,34725.00,1500.00,15.70,11025.00,414.65,429.35,397.97,418.70,23.03,421.00,25050,10.50,NIFTY,24.55,24.55,--,--,24.55,25.50,712275.00,77.90,311850.00,5653650.00,0,0.14,-5.59,7.47,0.00060
0.00050,6.51,-4.94,-0.89,0,0,316575.00,81000.00,109.30,155100.00,463.60,468.75,447.97,468.70,18.48,466.45,25100,10.60,NIFTY,19.60,19.60,--,--,19.60,19.85,1789425.00,53.40,622875.00,7894350.00,0,0.11,-4.94,6.51,0.00050
0.00040,5.64,-4.36,-0.91,0,0,10575.00,2550.00,89.50,5400.00,505.30,521.00,497.97,518.70,14.28,512.25,25150,10.80,NIFTY,15.75,15.75,--,--,15.20,15.80,712275.00,80.90,318450.00,3414825.00,0,0.09,-4.36,5.64,0.00040
0.00040,4.71,-3.64,-0.93,0,0,131700.00,65025.00,67.70,161025.00,555.35,561.65,547.97,568.70,11.68,559.65,25200,10.80,NIFTY,11.85,11.85,--,--,12.10,12.60,2339025.00,69.00,955275.00,8094375.00,0,0.07,-3.64,4.71,0.00040
0.00030,4.06,-3.21,-0.94,0,1,4500.00,2925.00,76.50,6750.00,598.65,621.35,597.97,618.70,1.18,599.15,25250,11.10,NIFTY,9.70,9.70,--,--,9.65,9.80,798525.00,126.30,445725.00,2607900.00,0,0.06,-3.21,4.06,0.00030
0.00030,3.46,-2.79,-0.95,0,0,56475.00,26775.00,77.60,61275.00,650.15,659.50,647.97,668.70,2.83,650.80,25300,11.30,NIFTY,7.80,7.80,--,--,7.60,7.85,1911750.00,23.40,361950.00,6254325.00,0,0.05,-2.79,3.46,0.00030
0.00020,2.88,-2.34,-0.96,0,1,12300.00,11100.00,704.80,12675.00,653.30,746.05,697.97,718.70,-3.57,694.40,25350,11.40,NIFTY,6.05,6.05,--,--,6.00,6.10,1191975.00,9.50,103350.00,2550075.00,0,0.04,-2.34,2.88,0.00020
0.00020,2.37,-1.94,-0.97,0,1,29400.00,21150.00,94.00,43650.00,746.70,755.70,747.97,768.70,-0.17,747.80,25400,11.50,NIFTY,4.65,4.65,--,--,4.65,4.90,2340450.00,94.30,1136175.00,5889900.00,0,0.03,-1.94,2.37,0.00020
0.00020,2.13,-1.80,-0.97,0,1,3300.00,2700.00,102.90,5325.00,750.55,844.95,797.97,818.70,-4.17,793.80,25450,11.90,NIFTY,4.15,4.15,--,--,3.95,4.15,417150.00,96.70,205125.00,1894350.00,0,0.03,-1.80,2.13,0.00020
0.00010,1.87,-1.64,-0.98,0,1,131175.00,85800.00,161.80,138825.00,844.90,850.85,847.97,868.70,0.43,848.40,25500,12.20,NIFTY,3.60,3.60,--,--,3.45,3.60,5360475.00,111.50,2825850.00,12641475.00,0,0.02,-1.64,1.87,0.00010
0.00010,1.56,-1.38,-0.98,--,1,--,--,--,3525.00,846.20,946.20,897.97,918.70,-50.37,847.60,25550,12.40,NIFTY,2.85,2.85,--,--,2.75,2.90,717525.00,113.50,381525.00,1859025.00,0,0.02,-1.38,1.56,0.00010
0.00010,1.35,-1.21,-0.98,0,1,15000.00,10800.00,113.40,20325.00,935.00,964.60,947.97,968.70,-2.72,945.25,25600,12.60,NIFTY,2.40,2.40,--,--,2.35,2.40,2121150.00,35.90,560625.00,4290600.00,0,0.02,-1.21,1.35,0.00010
0.00010,1.17,-1.08,-0.99,--,1,225.00,--,--,1050.00,952.00,1037.20,997.97,1018.70,-8.12,989.85,25650,12.90,NIFTY,2.05,2.05,--,--,2.00,2.05,364500.00,33.10,90600.00,1053750.00,0,0.01,-1.08,1.17,0.00010
0.00010,1.02,-0.96,-0.99,0,1,8475.00,8025.00,53.20,23100.00,1033.90,1064.05,1047.97,1068.70,-8.42,1039.55,25700,13.20,NIFTY,1.75,1.75,--,--,1.70,1.75,1883025.00,124.70,1044900.00,3447975.00,0,0.01,-0.96,1.02,0.00010
0.00010,0.97,-0.94,-0.99,--,1,150.00,--,--,1350.00,1045.35,1143.95,1097.97,1118.70,-11.97,1086.00,25750,13.60,NIFTY,1.70,1.70,--,--,1.55,1.65,349350.00,9.70,30825.00,1200750.00,0,0.01,-0.94,0.97,0.00010
0.00010,0.90,-0.91,-0.99,0,1,3825.00,3750.00,17.10,25650.00,1138.60,1163.25,1147.97,1168.70,-2.82,1145.15,25800,14.00,NIFTY,1.60,1.60,--,--,1.45,1.60,1280100.00,37.20,346950.00,3115200.00,0,0.01,-0.91,0.90,0.00010
--,0.84,-0.87,-0.99,0,0,300.00,300.00,50.00,900.00,1144.35,1202.30,1197.97,1218.70,2.08,1200.05,25850,14.50,NIFTY,1.50,1.50,--,--,1.35,1.50,148050.00,10.60,14175.00,437850.00,0,0.01,-0.87,0.84,--
--,0.78,-0.82,-0.99,--,1,4800.00,4350.00,386.70,5475.00,1194.40,1251.95,1247.97,1268.70,-12.32,1235.65,25900,14.80,NIFTY,1.40,1.40,--,--,1.25,1.40,470250.00,137.70,272400.00,1893525.00,0,0.01,-0.82,0.78,--
--,0.76,-0.83,-0.99,--,1,--,--,--,1350.00,1241.95,1346.10,1297.97,1318.70,-37.42,1260.55,25950,15.30,NIFTY,1.40,1.40,--,--,1.25,1.35,273450.00,47.90,88500.00,669000.00,0,0.01,-0.83,0.76,--
--,0.70,-0.79,-0.99,0,1,32925.00,28575.00,82.80,63075.00,1339.85,1350.00,1347.97,1368.70,-2.97,1345.00,26000,15.70,NIFTY,1.30,1.30,--,--,1.30,1.35,4431300.00,183.80,2870025.00,9547425.00,0,0.01,-0.79,0.70,--
